Parametre;Coefficient de corellation;Count;Top;List
Cloquintocet-mexyl;0.32176223233333334;12;0.950817637;0.950817637,0.718432131,0.614989567,0.525460794,0.494308305,0.458806325,0.385461022,-0.338510994,0.258671283,-0.161510922,-0.072527843,0.026749483
Epichlorohydrine;0.2801455192;10;0.911178063;0.911178063,0.853141143,0.462809289,0.383089649,-0.356899519,0.33239458,0.252354764,-0.199458155,0.158125957,0.004719421
Vanadium;0.2771693387619048;21;0.856661917;0.856661917,0.764671049,0.650541355,0.547402923,0.537161718,0.475185038,0.420260101,0.418367979,0.27331125,0.250312386,0.232871053,-0.22235847,0.182161295,0.171826329,0.161950827,-0.147573083,0.113264781,0.09458683,0.078271846,-0.064507434,0.026186424
Tétrachloroéthane-1,1,2,2;0.2747544945;10;0.865272333;0.865272333,0.710338847,0.616437978,0.493169858,-0.311131711,0.235351947,0.127940426,0.09345427,-0.061441639,-0.021847364
Alpha-cyperméthrine;0.25102812741666664;12;0.760776044;0.760776044,0.664431628,0.57960866,0.554405187,0.537148997,-0.334050969,0.23855797,-0.113416739,0.109925794,-0.094000244,0.057583293,0.051367908
Formothion;0.24561755016666664;12;0.760776044;0.760776044,0.664431628,0.57960866,0.554405187,0.537148997,-0.334050969,0.173631043,-0.113416739,0.109925794,-0.094000244,0.057583293,0.051367908
Matières en suspension;0.24411899012499996;32;0.930507176;0.930507176,0.793703324,0.718564632,0.672318253,0.544337226,0.500638617,0.454104559,0.452395389,0.441072289,0.385337615,0.341574591,-0.310994975,0.292101737,-0.280616234,0.276320936,0.247522624,0.240215119,0.234712853,0.228094418,0.193577896,0.168732865,0.163533473,-0.141030243,0.140505899,0.113090075,0.10312181,-0.099529695,-0.053879753,0.041170939,0.040778366,-0.036850697,0.0166766
Bromure de méthyle;0.24065124979999997;10;0.88437769;0.88437769,0.797050084,0.579595938,0.448958361,-0.336614189,-0.208437267,0.139240166,0.076072633,0.052997897,-0.026728815
m-Methylaniline;-0.24002121408333332;12;-0.80998667;-0.80998667,-0.730544188,-0.449548089,-0.433690307,0.35942508,-0.342322574,0.295058929,-0.293395559,-0.271651021,-0.264362471,0.030816955,0.029945346
Depalléthrine;0.21126327925000002;12;0.861302698;0.861302698,0.695924462,0.626955443,0.60094295,0.336015763,-0.272982711,-0.264412856,-0.0984412,0.047113603,-0.040870653,0.035011025,0.008600827
Parathion méthyl;-0.20889499675;16;-0.884654418;-0.884654418,-0.576403604,-0.519519273,-0.514367212,-0.49396951,-0.413762694,-0.2285974,0.22436953,0.173632802,-0.132258857,-0.09532335,-0.076334175,0.069327319,0.068957858,0.057279005,-0.000695969
Octylphenol;0.20878100341666672;12;0.860680377;0.860680377,0.408984893,0.395081075,0.376370603,0.364334926,-0.309799857,0.288132478,0.286285729,-0.231711535,0.067560945,-0.066992512,0.066444919
DDE 44';0.2083883532;25;0.884403557;0.884403557,-0.657880869,0.569760999,0.541386248,0.522655487,0.456743156,0.417566981,0.413503632,0.409769437,0.407391681,0.390071194,0.339407825,0.319746439,-0.307702075,0.283843893,-0.242006776,0.224869186,-0.217979101,-0.202096791,0.198429219,0.195367049,0.177157126,0.131882956,-0.080957973,0.03437635
Méfenpyr diéthyl;-0.19992465533333337;18;-0.829599234;-0.829599234,-0.817345477,-0.690902594,-0.566450414,-0.528404869,0.505188575,-0.407193204,-0.397230673,0.379869781,0.249726601,-0.236875213,0.229161164,-0.20283761,-0.151282269,0.145869516,-0.124000875,-0.108189637,-0.048147364
Chloro-2 Méthylphénol-5;0.198353384;13;0.888665034;0.888665034,0.417762418,0.4080193,0.378119278,0.311190426,0.227830373,0.221624692,-0.187921577,-0.168514658,0.081818706,0,0,0
Tricyclohexylétain cation;0.1903664384117647;17;0.927256529;0.927256529,0.710587371,0.550741141,0.40285857,0.391293406,-0.325645567,0.286797345,0.272041156,0.265130719,-0.230968006,0.162186934,-0.137791672,0.06811626,-0.065778491,-0.046765515,0.039836251,-0.033666978
Turbidité Formazine Néphélométrique;0.188960296875;32;0.829157072;0.829157072,0.752907481,0.710998876,0.530401599,0.454835001,0.387176821,0.385998702,0.377524935,0.345590718,-0.330193686,0.315913786,0.306468483,0.282803554,0.271524939,0.232489398,0.213999836,0.209739973,0.191330246,-0.183024467,-0.164520352,0.16396665,-0.150232338,0.082272428,-0.074025645,-0.072938019,-0.06542314,-0.064765713,0.056465833,0.051955504,-0.03824749,0.031945939,0.004632576
Chlordane;0.18787575300000003;9;0.823314293;0.823314293,0.744388631,-0.485547841,-0.448866446,0.430399539,0.306900439,0.211078279,0.083330028,0.025884855
Chinométhionate;0.18770990466666668;12;0.717006528;0.717006528,0.565614025,0.55318484,0.408464353,0.317547047,-0.267278544,0.229311078,-0.131969481,-0.100186489,-0.049416496,0.011587247,-0.001345252
Dinoterbe;-0.18001717325000002;16;0.605168844;0.605168844,-0.574978193,-0.497311891,-0.491352212,-0.428307925,-0.380340486,-0.333880402,-0.261662553,-0.244879044,-0.229941425,-0.159154659,0.154187576,-0.036253084,-0.028251198,0.023780958,0.002900922
PCB 35;0.17932741375000003;12;0.889278543;0.889278543,0.677159988,0.6,0.449247717,0.283427978,-0.278326091,-0.272963567,-0.108487591,-0.098274105,-0.063030264,0.040885445,0.033010912
2,4,5-Trichloroaniline;0.17564887;9;0.854504531;0.854504531,0.528404869,-0.400505049,0.236875213,0.228697632,0.132862634,0,0,0
Somme du Xylène-méta et du Xylène-para;0.1723945925;12;0.858070327;0.858070327,0.716755275,0.521063278,-0.369475096,0.290235913,-0.274884814,0.272038734,0.151912689,-0.062419798,-0.044176085,0.043344698,-0.033730011
Naled;0.1711316492857143;14;0.873708013;0.873708013,0.834798782,-0.598028308,0.558622743,0.485434895,0.440310902,-0.437350789,0.267985375,0.089876621,-0.083270505,-0.051707062,0.023256788,-0.015612088,0.007817723
Flonicamid;-0.17036095938888887;18;-0.71183898;-0.71183898,-0.709238434,-0.487583683,0.433785938,-0.415543765,0.397006764,-0.350760346,-0.340235154,-0.335816335,-0.263642379,-0.204103061,-0.191757116,-0.153336506,0.122550749,0.116002618,0.099577007,-0.049466669,-0.022097917
Oxyfluorfène;0.16848910208333334;12;0.91568334;0.91568334,0.774306466,0.573705348,0.476253724,-0.433904392,-0.21068386,-0.162189191,0.12877214,0.11137786,-0.094318928,-0.072479707,0.015346425
DDD 24';0.16780615799999998;20;0.865272333;0.865272333,0.617486981,0.519018197,0.48812947,0.481927291,0.227581613,0.089384676,0.049277124,0.039907669,-0.021862194,0,0,0,0,0,0,0,0,0,0
Captafol;0.16383482466666666;12;-0.788729188;-0.788729188,0.735939425,0.657020353,0.568223322,0.449594538,0.295734213,0.227479177,-0.110652889,-0.070815668,-0.066957322,0.066155731,0.003026204
Dichlorobenzène-1,3;0.16254704025;12;0.655913273;0.655913273,0.616203689,0.54841966,0.280960347,-0.228988251,0.22560722,0.21061617,-0.198462511,-0.16354178,-0.087320512,0.07599696,0.015160218
Para-sec-butylphenol;0.16149740394736842;19;0.865272333;0.865272333,0.617486981,0.519018197,0.48812947,0.481927291,-0.287672485,0.227581613,0.089384676,0.049277124,0.039907669,-0.021862194,0,0,0,0,0,0,0,0
Cyromazine;0.16088804489473685;19;0.932483357;0.932483357,0.867947363,0.693004745,-0.535794564,0.446291428,0.415954974,-0.390083287,-0.377159722,0.337318922,-0.320420651,-0.310154467,0.306330605,0.258115046,0.232019899,0.190453833,0.145688904,0.117030449,0.110625542,-0.062779523
